顺应,SM B,Conform to (trend),~趋势,shùn yìng
趋势,I SM B,Trend,顺应~,qū shì
企业,E S,Business,,qǐ yè
应用程序,I T,Software application,下载～,yìng yòng chéng xù
即便,I C,Even if / though,~...也,jí biàn
寄生虫,I B E,Parasite,沦为～,jì shēng chóng
瞬息万变,S A,Ever changing,社会～,shùn xī wàn biàn
“明日黄花”,A,Stale and uninteresting,成为～,míng rì huáng huā
淘汰,M,Elimination through selection,时代的～,táo tài
雇主,E S,Employer,,gù zhǔ
青睐,B,Favour / Good graces,获得～；受到～,qīng lài
坐冷板凳,M S A,Bench warmer / Hold an inconsequential job,～的厄运,zuò lěng bǎn dèng
厄运,M ,Misfortune,坐冷板凳的～,è yùn
迎接,M B,Welcome,～挑战,yíng jiē
栋梁,I S,Supporting role,国家未来的～,dòng liáng
谋生,I S E,Make a living,～的技能,móu shēng
提升,S,Promote,自我～；～它当（role),tí shēng
摆脱,I B,Shake off,～贫穷,bǎi tuō
途径,I S,Way (method) / Avenues (method),探索～；有效～,tú jìng
天然资源匮乏,I S E,Deficient in natural resoruces,新加坡～,tiān rán zī yuán kuì fá
变迁,S E,Change,时代的～,biàn qiān
迎合,A AC,Cater to,～时代；～趋势,yíng hé
政策,I S,Policy,教育～,zhèng cè
脱节,S B,Disjointed,和时代～,tuō jié
职场,S E,Workplace,,zhí cháng
充满变数,S E A,Full of varibles,工作上～,chōng mǎn biàn shù
清晰,S A,Clear,～沟通能力,qīng xī
弊端,B S,Bad practices,政治～,bì duān
评估,M,Evaulate,～他的表现,píng gū
占分比例,S A,Proportion of Importance,考试的～,zhān fēn bǐ lì
妨碍,S E,Hinder,～发展,fáng ài
人云亦云,B S A,Echo others views,只能～,rén yún qǐ yún
应声虫,B S A,An echo (person),当～,yīng shēng chóng
灌输,AC S,Instill,价值观的～,guàn shū
世风日下,S B I,Declining public morals,,shì fēng rì xià
康庄大道,B,Sound path,走上～,kāng zhù dà dào
明灯,M,Beacon,脚前的～,míng dēng
“精英犯罪”,N T S,Elite Criminal,～的道路,“ jīng yīng fàn zuì ”
盗取,AC,Steal,～资料,dào qǔ
勒索,AC T,Extort / Blackmail,～钱财,lè suǒ
是非不分,S B,Right or wrong,,shì fēi bù fēn
物欲横流,B I,Materialistic,～的社会,wù yù héng liú
协作,S B,Cooperation,～能力,xié zuò
导致,C,Resulting in,～是非不分,dǎo zhì
坚韧不拔,B,Perseverance,～的精神,jiān rèn bù bá
德育在于行动,N S,VIA,,dé yù zài yú xíng dòng
推陈出新,AC T,Innovate,科技～,tuī chén chū xīn
面世,AC T S,Come out / be produced,产品～,miàn shì
替换周期,T S,Replacement cycle,～越来越短,tì huàn zhōu qī
公吨,M,Metric tonn,几万～,gōng dūn
新电信,N S,Singtel,,xīn diàn xìn
新邮政,N S,Singpost,,xīn yóu zhèng
攀比心理,B I SM,Feel the need to compare with others,,pān bǐ xīn lǐ
脸上贴金,AC B,Praise,让自己～,liǎn shàng tiē jīn
喜新厌旧,B T S,Like the new and dislike the old,,xǐ xīn yàn jiù
购物清单,N,Shopping list,,gòu wù qīng dān
删除,AC,Remove / Strike off,从中～,shān chú
自然降解,EV,Natural decomposition,垃圾无法～,zì rán jiàng jiě
有害气体,E,Harmful gas,释放～,yǒu hài qì tǐ
释放,EV AC,Release,～有害气体,shì fàng
要强心里,B,Ambitious (bad),,yào qiǎng xīn lǐ
小国寡民,I,Small country and few people,新加坡～,xiǎo guó guǎ mín
竞争激烈,E S,Fierce competition,社会～；经济～,jìng zhēng jī liè
脆弱性,S N,Vulnerability,小国的～,cuì ruò xìng
丑陋心里,A B,Unsightly / Ugly way of thinking,不知满足的～,chǒu lòu xīn lǐ
墨守成规,B S,Stick to the rules / customs,文化～,mò shǒu chéng guī
跟风,B S SM,Follow trends,只会～,gēn fēng
从众心理,B S N,Herd mentality,,cóng zhòng xīn lǐ
分一杯羹,S E,Share in the profit,,fēn yī bēi gēng
市场饱和,E N,Market saturation,,shì cháng bǎo hé
跌到谷底,AC A,Fall to rock bottom,一失败就～,diē dào gǔ dǐ
翻身,AC B,Turn over (life),无法～,fān shēn
打入市场,E S,Enter the market,第一个～,dǎ rù shì cháng
市场份额,E N,Market share,最大的～,shì cháng fèn é
开拓市场,E AC,Expand the market,,kāi tuò shì cháng
S T A I,AC S T A,Spring up in great multitudes,如～涌现,yǔ hòu chūn sǔn
一席之地,E S AC,A standing / role to play ,在市场上占有～,yī xí zhī dì
秘诀,B A,Secret technique,成功的～,mì jué
申诉,B AC,Complain,,shēn sù
预算案公布,N E S,Annual budget (announcement),,yù suàn àn gōng bù
贫富悬殊,N E S,Wide wealth gap,造成社会～,pín fù xuán shū
患得患失,B I A,Worry about gains and losses,～的心理,huàn dé huàn shī
霸位,S AC N,Chope,～的行为,bà wèi
泛滥,AC S,Overflow (passive bad),信息～；情感～,fàn làn
肆虐,AC S,Go beyond control (agressive),病毒～； 恐怖分子～,sì nüè
虐待,AC B,Illtreat,,nüè dài
放肆,AC B,Go wild,,fàng sì
肆无忌惮,B A,Wild without fear,他也太～,sì wú jì dàn
大肆,A B,Without restraint,～抢夺；～屠杀,dà sì
探索,AC,"Explore, recce",～踩点,tàn suǒ
探讨,AC S,Debate,～问题；～话题,tàn tǎo
释放,EV AC,Emit,～有毒气体；～人质,shì fàng
如释重负,B,Relieved,,rú shì zhòng fù
发放,AC,"Spread, give out",～补贴,fā fàng
新陈代谢,N B,Metabolism,身体～,xīn chén dài xiè
左右,B SM S AC,"Sway, influence",～思想；～决定,zuǒ yòu
启发,AC S,Elighten,受到～；～了我,qǐ fā
引发,AC S B,Trigger,～疑虑；～不满,yǐn fā
分离,S AC,Seperate,,fēn lí
分化,S,(Social) Divide,社会～,fēn huà
动荡,S A,Unstable / chaotic,社会～,dòng dàng
分野,S,Clear division (bad),,fēn yě
流通,AC,Circulation,空气～；钱～,liú tōng
通用,A,Universal,,tōng yòng
普及,AC A,Far-reaching (Noun and verb),～教育；～知识；手机～,pǔ jí
普遍,AC A,Widely spread / common,,pǔ biàn
畅销,E A,Well selling,物品～,chàng xiāo
滞销,E A,unsaleable,物品～,zhì xiāo
舒畅,B A,Comfortable,心情～,shū chàng
流畅,A,Smooth,空气～,liú chàng
见仁见智,B S,Differernt people have differnt views,,jiàn rén jiàn zhì
平分秋色,M,Equal ability,对手～,píng fēn qiū sè
耐人寻味,M,Intriguing,他受的话～,nài rén xún wèi
探查,AC,Search,～真相,tàn chá
检讨,AC,Reflect,,jiǎn tǎo
商讨,AC,Neogotiate,,shāng tǎo
颠覆,AC B S,Overthrow / Overturn,～政权；～思想；～价值观,diān fù
衰弱,AC A,Deteriorate,健康～,shuāi ruò
触屏,T N,Touch screen,,chù píng
下单,AC S,Take order,点餐机～,xià dān
简化,AC S,simplify,～工作,jiǎn huà
生产力,S E,Productivity,提高～,shēng chǎn lì
星罗棋布,S E ,Dotted all over the place / spread out everywhere,咖啡店～,xīng luó qí bù
工资,S E N,wage,～低,gōng zī
高峰时间,S E N,Peak hour,,gāo fēng shí jiān
顾此失彼,M,Can have one can't have both,,gù cǐ shī bǐ
频频出错,AC B,Repeatedly make mistakes,,pín pín chū cuò
情绪,B,Morale,～问题,qíng xù
犹豫不决,AC B,Hesitate,,yóu yù bù jué
潮流,SM B,trend,科技～,cháo liú
市井小民,CA N,Heartlands,,shì jǐng xiǎo mín
普罗大众,S,The general public,,pǔ luó dà zhòng
年久失修,AC ,Grow old and dilapidated,,nián jiǔ shī xiū
混泥土,N,Cement,～脱落,hùn ní tǔ
美轮美奂,A,Magnificant / Grand,房子～,měi lún měi huàn
焕然一新,A,Look brand new,,huàn rán yī xīn
砖,N,Tile,地～；壁～,zhuān
热水器,N,Water heater,,rè shuǐ qì
晾衣架,N CA,HDB Drying rack,,liàng yī jià
翻新,AC S,Upgrade,～祖屋,fān xīn
装修商,N,Contractor,找～,zhuāng xiū shāng
美观,A,Beautiful,房子～,měi guān
售价,N,Selling price,房子～,shòu jià
引起,AC,cause,～火灾,yǐn qǐ
扶手,N,armrest,,fú shǒu
视野,N S B,Field of view,走进大众～,shì yě
视频网,N T CA SM,Youtube esque platforms,,shì pín wǎng
直播,N T SM,Live stream,,zhí bō
浏览,AC SM,Browse,～账号,liú lǎn
截图,SM T AC,Screenshot,,jié tú
存档,SM T AC,Save,～信息,cún dàng
账号,N SM T,Account,社交网～,zhàng hào
帖子,N SM CA I,Post (social media),,tiè zǐ
“凡走过必留痕迹”,M I,Leave a trace of what you've done,,“ fán zǒu guò bì liú hén jì ”
酸葡萄,B A,Sour (feeling),～心理,suān pú táo
唯恐天下不乱,B S,Want to cause chaos,,wéi kǒng tiān xià bù luàn
奉承,AC B S,Flatter,,fèng chéng
键盘侠,T N SM CA I,Keyboard warrior,,jiàn pán xiá
隐匿,SM T S B I,Anonymous,网络的～性,yǐn nì
同志,N CA,LGBTQ,,tóng zhì
“出柜”,AC,Come out of the closet,承认自己～,“ chū guì ”
食古不化,B S A,Unwilling to change,,shí gǔ bù huà
蔑视人权,B S AC A,Overlook human rights,,miè shì rén quán
姑且不论,AC S,Accept witout discussion,～有争议性的话题,gū qiě bù lùn
争议性,CA A,Controversial,同性恋这个具有～的话题,zhēng yì xìng
炫富,AC,show off wealth,网红～,xuàn fù
言语暴力,AC SM S B,Flame someone,对他进行～,yán yǔ bào lì
煽动,AC A B,Fan the fire,,shān dòng
过激,A,Extreme,～的行为,guò jī
尖酸刻薄,A B,Bitter,,jiān suān kè báo
显示,AC,Show clearly,这～他的感情,xiǎn shì
展示,AC,Display and show,～在网络上,zhǎn shì
展览,M,Exhibition,举办～,zhǎn lǎn
夜猫子,N B,Nocturnal animal,晚上不睡觉的～,yè māo zǐ
自动化,CA T I,Automate,办公～,zì dòng huà
开拓,AC,Open up,～新领域,kāi tuò
辟建,AC,Build,～老人院,bì jiàn
扩充,AC,Expand,～营业,kuò chōng
落成,A,Built / Completed ,学校～；地铁站～,luò chéng
领域,S N,Area / Field,科学～；教育～,lǐng yù
航运,N S,Sea and air transport,～枢纽,háng yùn
枢纽,I N S E,Central network / core,交通～；经济～,shū niǔ
跨国,A,Cross / inter-,～公司 (mnc),kuà guó
国际,A S,Cross nation (2 or more),～分享,guó jì
组织,S N,Organisation,～犯罪,zǔ zhī
机构,S N,Organisation (bigger),慈善及～,jī gòu
凭空捏造,A,Baseless ,,píng kōng niē zào
考察,AC,Recce / See and look,出国～,kǎo chá
采纳,AC,Accept and use,～意见,cǎi nà
接纳,AC,Accept,～人,jiē nà
窥探,AC,Spy,,kuī tàn
审核,AC,Vett,～文件；～账目,shěn hé
候补,A,Reserve,～球员,hòu bǔ
弥补,AC B,make up for,～损失；～不足,mí bǔ
宜居城市,I N S E T,Liveable city,,yí jū chéng shì
交通物流,S E N,Flow of goods,安排高效的～,jiāo tōng wù liú
实体店,S N T E,Physical store,,shí tǐ diàn
路线,E N,Route,规划～,lù xiàn
收集数据,AC S,Gather data,,shōu jí shù jù
高行政 ,N,Admin,～效率著称,gāo xíng zhèng &nbsp;
转账,AC E,Make a transfer (monetary),安全～,zhuǎn zhàng
流动通信,N T,Mobile data,,liú dòng tōng xìn
优化,AC,Modify / Make it better,～硬件设施,yōu huà
硬件设施,I E S N,Infrastructure,,yìng jiàn shè shī
识别系统,N T S,Perosnal data,,shí bié xì tǒng
登陆,T AC,Login,～平台,dēng lù
山穷水尽,B,"No path to take, helpless",,shān qióng shuǐ jìn
主旨,B N,Main objective,,zhǔ zhǐ
宗旨,B N,Objective,,zōng zhǐ
千钧一发,A,In great danger,,qiān jūn yī fā
九死一生,A,Very dangerous,,jiǔ sǐ yī shēng
迫在眉睫,A I,"Urgent, imminent",,pò zài méi jié
当务之急,N,Urgent priority,,dāng wù zhī jí
束手待毙,B,Do nothing and wait to die,,shù shǒu dài bì
一等莫展,A,"No way to, impossible",这是～,yī děng mò zhǎn
镇定自若,B A,Calm and normal,,zhèn dìng zì ruò
焦点,N,Focus,众人的～；把～放在他身上,jiāo diǎn
尴尬,B I,Awkward,样子～,gān gà
核心,A,"Core, important",～人物；～任务,hé xīn
扭转,AC,Turn around ,～身子；～局面（Turn around the situation),niǔ zhuǎn
调停,AC,Mediate and stop,,diào tíng
剥削,AC EV,Exploit,～地球资源,bāo xiāo
侵略,AC,Invade,～别国,qīn l锟斤拷è
巨额,A,Large amount of money,投入～,jù é
忽略,AC,Ignore what should be considered,～心情,hū l锟斤拷è
忽视,AC,Ignore what was seen (physical),～责任,hū shì
老态,A,Elderly in movement or bearing,易现～,lǎo tài
相提并论,AC,Mention together,不能拿来～,xiāng tí bìng lùn
口腹之欲,AC,Eat,为了满足～,kǒu fù zhī yù
巧立名目,I AC,Give a nice title to justify bad things,,qiǎo lì míng mù
大费周章,AC,Go through a lot of trouble,,dà fèi zhōu zhāng
无底洞,N,Bottomless pit,贪心是个～,wú dǐ dòng
不归路,N,The path of no return,,bù guī lù
名堂,N S,Big title,,míng táng
负荷,N,Work load,承受不少～,fù hé
老态龙钟,A,Old / Senile,看起～,lǎo tài lóng zhōng
暴殄天物,AC EV,Waste products of nature (mostly food),,bào tiǎn tiān wù
殊不知,C B AC,Not knowing that,,shū bù zhī
糟蹋,AC EV,"Waste, destroy",～身体；～食物,zāo tà
作孽,AC,Do evil,,zuò niè
美中不足,N,A blemish in an otherwise perfect thing,,měi zhōng bù zú
防毒软件,T N,Antivirus software,,fáng dú ruǎn jiàn
酷热难耐,EV A,Hot and unbearable,天气～,kù rè nán nài
变化莫测,EV A,Unpredictable and changeable,天气更加～,biàn huà mò cè
雾霾,EV N,Haze,,wù mái
暴雨,EV N,Rainstorm / Torrential rain,,bào yǔ
制定政策,G,Formulate a policy,,zhì dìng zhèng cè
二氧化碳,EV N,CO2,,èr yǎng huà tàn
碳排量,EV N,Carbon footprint,,tàn pái liáng
预期,A,Anticipate,达到～效果 （Achive desired results),yù qī
空调,T,Air conditioner,～温度,kōng diào
离谱,A,Go too far / Go beyond normal,低的～,lí pǔ
消耗,AC EV,Consume / Expend,～电源,xiāo hào
全球暖化,EV N,Global warming,加剧～,quán qiú nuǎn huà
路税,G N,Road Tax,,lù shuì
生态平衡,EV N I,Ecological balance,,shēng tài píng héng
致力于,B,Devote oneself to / Decicate self to,,zhì lì yú
自然采光,EV N,Natural light,利用～,zì rán cǎi guāng
开放式设计,EV N,Open concept,采用～，让建筑物通风,kāi fàng shì shè jì
通风,EV AC,to ventilate,让室内～,tōng fēng
通风系统,EV N,Ventilation system,,tōng fēng xì tǒng
吊扇,T,Hanging fan,装上～,diào shàn
驱散热气,EV AC,Dispel the heat,,qū sàn rè qì
感应器,T,Sensor,,gǎn yīng qì
永续,EV I,Sustainable,～发展；～城市,yǒng xù
树荫,EV,Tree shade,提供～，让人凉爽,shù yīn
砍伐树林,EV AC,Deforestation,大量～,kǎn fá shù lín
栖息之地,EV N,Habitat,动物失去～,qī xī zhī dì
稀有动物,EV N,Endangered animals,～濒临绝种,xī yǒu dòng wù
濒临绝种,EV A,On the verge of extinction,稀有动物～,bīn lín jué zhǒng
洁净能源,EV T,Clean energy,使用～,jié jìng néng yuán
树木是大自然的清道夫,EV,Trees help clean the enviroment,,shù mù shì dà zì rán de qīng dào fū
交易,E,Buisness transaction / deal,～行为,jiāo yì
提款,E,Draw money,,tí kuǎn
转账,E,Transfer accounts,,zhuǎn zhàng
迫切感,N,Urgency,～没那么大,pò qiē gǎn
舒服安逸,A,Easy and safe,生活～,shū fú ān yì
冒险精神,N B,Willingness to take risks and explore,缺乏～,mào xiǎn jīng shén
横行,AC,Run amuck,黑客在网上～,héng xíng
投资家,N E,Investor,流失～,tóu zī jiā
便捷,A,Convenient,生活更加～,biàn jié
遨游,AC,Travel / Roam,～于互联网的世界,áo yóu
银行,N E,Bank,,yín xíng
莫过于,C,Nothing can surpass,最重要的～加强教育,mò guò yú
不谙科技,A T,Not familar with technology,～的年长者,bù ān kē jì
掉队,AC,Fall behind,避免人们～,diào duì
回扣,G E,Monetary benefit (payout),获得～,huí kòu
津贴,E,Allowance,,jīn tiē
指纹认证,T,Fingerprint password,采用～,zhǐ wén rèn zhèng
网络会议室,T,Online conference,开办～,wǎng luò huì yì shì
转移到网络,AC T,Go online,,zhuǎn yí dào wǎng luò
一呼百应,B S,Good response,民众～,yī hū bǎi yīng
无穷潜力,I T,Infinite potential,科技的～,wú qióng qián lì
趁势而上,T S,Make use of the growing trend to improve,必须～,chèn shì ér shàng
与时并进,T S I,Progress with the chaging age,,yǔ shí bìng jìn
“家常便饭”,T A,Commom occurance / Routine,使用网络是～,“ jiā cháng biàn fàn ”
网上资料浩如烟海,T,Information on the internet is vast,,wǎng shàng zī liào hào rú yān hǎi
学习风格,EDU,Learning styles,满足不同～,xué xí fēng gé
通讯软件,T ,Communication software,通过～,tōng xùn ruǎn jiàn
教育应用程序,T EDU,Teaching apps,～像一套课程,jiào yù yīng yòng chéng xù
微软简报,EDU T,Powerpoint presentation,,wēi ruǎn jiǎn bào
益智游戏,EDU T,Educational games,,yì zhì yóu xì
互动性学习,EDU,Engaging lessons,～的乐趣,hù dòng xìng xué xí
参与感,EDU G,Participation,～加强,cān yǔ gǎn
“兴奋是最好的老师”,EDU,Interest in a topic drives learning,,“ xīng fèn shì zuì hǎo de lǎo shī ”
动手操作,EDU,Practical / Hands on,～的科目,dòng shǒu cāo zuò
青春叛逆期,EDU B,Rebelious teenage phase,学生正～,qīng chūn pàn nì qī
预录课堂,EDU T,Prerecorded lessons,把～上传到网上,yù lù kè táng
屏幕,T,Screen,面对～,píng mù